class_name,class_image,class_explanation,class_ability
시민,시민.png,평범한 모범시민입니다.,없음
돌연변이,돌연변이.png,알 수 없는 초록색 스테로이드를 결국 주입한 당신… 초록색 괴물이 되어버렸습니다!,독에 내성이 생긴다. 방독면 없이 낮에 활동이 가능하다.
사냥꾼,사냥꾼.png,날카로운 사냥꾼의 눈으로 숨겨진 함정을 찾을 수 있습니다.,"매턴 낮 사용 가능. 일정범위 내의 함정을 색적 가능하며, 낮마다 한 번 함정을 제거 할 수 있음."
신부,신부.png,"충실한 하나님의 종인 당신은 기도를 통해 기적, 혹은 천벌을 일으킬 수 있습니다.",매턴 밤 사용 가능. 식량 하나 소모시 플레이어 한 명의 하트 한칸 회복. 식량 두개 소모시 플레이어 한 명의 하트 한칸 감소.
돌팔이 의사,돌팔이_의사.png,의사 가운과 구급 상자를 통해 다른 사람에게 의사 인 척 행세를 하지만… 치료를 잘 할 수 있을까요?,"매턴 밤 사용 가능. 플레이어 한 명을 수술한다. (확률에 따라 실패, 성공, 대성공이 결정됨.)"
도둑,도둑.png,같이 생존은 해야하지만… 도벽은 어쩔 수 없잖아요? 식량 한 두개쯤은 괜찮습니다.,"매턴 밤 사용 가능. 플레이어 한 명의 식량을 훔칠 수 있다. (확률에 따라 실패, 성공, 대성공이 결정됨.)"
거식증,거식증.png,음식만 보면 기겁을 합니다. 다른 생존자들이 좋아하는 친구라네요.,"식량을 소모하지 않아도 하트가 깎이지 않는다. 단, 다른 하트에 관련된 패널티에 1.5배 증가된 수치로 적용된다."
기생수,기생수.png,이상한 기생충에 감염된 당신… 평소보다 몸이 가벼운 것 같습니다.,"행동 속도(이동, 수색, 작업, 임무)가 1.5배 빨라진다. 대신, 밤에 식량을 두배로 소모해야한다."
관음병자,관음병자.png,"사회였다면 범죄였겠지만, 이 곳에서는 아닙니다! 다른 사람을 관음할 수 있습니다.",매턴 밤 사용 가능. 플레이어 한 명을 지목해 이 플레이어가 누구에게 능력을 사용했는지 알 수 있다.
탐지꾼,탐지꾼.png,돋보기만 있으면 모든걸 볼 수 있습니다! 다른 사람의 가방까지도요.,매턴 밤 사용 가능.  플레이어 한 명의 가방을 확인 할 수 있다.
